observation_date,NJUCSFRCONDOSMSAMID_20220120,NJUCSFRCONDOSMSAMID_20220217,NJUCSFRCONDOSMSAMID_20220317,NJUCSFRCONDOSMSAMID_20220421,NJUCSFRCONDOSMSAMID_20220519,NJUCSFRCONDOSMSAMID_20220616,NJUCSFRCONDOSMSAMID_20220721,NJUCSFRCONDOSMSAMID_20220818,NJUCSFRCONDOSMSAMID_20220915,NJUCSFRCONDOSMSAMID_20221020,NJUCSFRCONDOSMSAMID_20221117,NJUCSFRCONDOSMSAMID_20221215,NJUCSFRCONDOSMSAMID_20230119,NJUCSFRCONDOSMSAMID_20230216,NJUCSFRCONDOSMSAMID_20230316,NJUCSFRCONDOSMSAMID_20230420,NJUCSFRCONDOSMSAMID_20230518,NJUCSFRCONDOSMSAMID_20230615,NJUCSFRCONDOSMSAMID_20230720,NJUCSFRCONDOSMSAMID_20230817,NJUCSFRCONDOSMSAMID_20230921,NJUCSFRCONDOSMSAMID_20231019,NJUCSFRCONDOSMSAMID_20231116,NJUCSFRCONDOSMSAMID_20231221,NJUCSFRCONDOSMSAMID_20240118,NJUCSFRCONDOSMSAMID_20240215,NJUCSFRCONDOSMSAMID_20240321,NJUCSFRCONDOSMSAMID_20240418,NJUCSFRCONDOSMSAMID_20240516,NJUCSFRCONDOSMSAMID_20240620,NJUCSFRCONDOSMSAMID_20240718,NJUCSFRCONDOSMSAMID_20240815,NJUCSFRCONDOSMSAMID_20240919,NJUCSFRCONDOSMSAMID_20241017
2018-05-01,329117,329240,329559,330518,332197,332564,332393,331728,330537,329647,328893,328122,327631,316027.72686466900,306327.97614840200,311271.36072513100,313183.53073942200,318362.40437377300,326787.06379325100,326195.19824586700,331773.74731153800,331356.01180909500,330118.71241676900,327982.66662897800,326095.20043879200,325774.33890473900,327483.98370189300,330436.70669042700,333061.79178308700,333435.92237484200,336162.40342533000,336374.18240561100,332884.19392522200,331090.30877940600
2018-06-01,330263,330386,330706,331669,333354,333721,333550,332883,331687,330795,330038,329265,328772,317299.82454535000,307561.02969041900,312524.31273655500,314444.17975599300,319643.89976735100,328102.47073571200,327508.22276828700,332952.45385054800,332533.23424162500,331291.53904373500,329147.90443627900,327253.73256561500,326931.73109330100,328647.44981739600,331610.66306901600,334245.07441183700,334620.53419307300,337356.70172740300,337569.23310377100,334066.84559459600,332266.58723761300
2018-07-01,330757,330880,331201,332165,333853,334221,334049,333381,332184,331289,330532,329757,329264,318892.94061974100,309105.24869828700,314093.45166366300,316022.95805499000,321248.78510105700,329749.82531879500,329152.59371912100,334503.01471228600,334081.84279602700,332834.36501881200,330680.74749672200,328777.75446035000,328454.25342593800,330177.96225874800,333154.97520590900,335801.65501251500,336178.86331140000,338927.77318849000,339141.29432429700,335622.59618298500,333813.95401588900
2018-08-01,331152,331276,331597,332562,334251,334620,334448,333779,332580,331685,330927,330151,329657,320259.37405535300,310429.74257426800,315439.31963247300,317377.09382064300,322625.31316172400,331162.77972859500,330562.98903424500,335813.57310724000,335390.75107015500,334138.38576606700,331976.33052772700,330065.88170354500,329741.11321569400,331471.57541389100,334460.25208047500,337117.30138537200,337495.98755883800,340255.66746417300,340470.02516020400,336937.54101641700,335121.81272133100
2018-09-01,331781,331905,332227,333193,334886,335255,335083,334413,333212,332315,331555,330778,330283,321282.87465480200,311421.82915580400,316447.41606582800,318391.38308769400,323656.37494529400,332221.12596613200,331619.41843129300,336774.24917958700,336350.21755764300,335094.26955923200,332926.02923815300,331010.11511232800,330684.41754554700,332419.83015004400,335417.05665020100,338081.70708827000,338461.47658526700,341229.05122346800,341444.02214161400,337901.43247123600,336080.50984552500
2018-10-01,332538,332662,332984,333953,335650,336020,335848,335176,333972,333073,332311,331532,331037,321796.28852047400,311919.48495315600,316953.10281100300,318900.17631535500,324173.58169274000,332752.01928786200,332149.35021720600,337184.79439723700,336760.24585882700,335502.76679488700,333331.88327677900,331413.63355260200,331087.53894365100,332825.06710581600,335825.94738000400,338493.84616469300,338874.07862033700,341645.02707507800,341860.26005388600,338313.35178358200,336490.20935906700
2018-11-01,333385,333509,333832,334804,336505,336876,336703,336030,334822,333921,333158,332377,331880,322533.37377972600,312633.94706050100,317679.09458993200,319630.62793185900,324916.11222223400,333514.19901818400,332910.14951368200,337820.04432038400,337394.69594037200,336134.84780910700,333959.87438655900,332038.01071534000,331711.30175017100,333452.10338329300,336458.63726047600,339131.56231718600,339512.51112375200,342288.67999418800,342504.31846795100,338950.72788799600,337124.15069683500
2018-12-01,334119,334244,334568,335541,337246,337618,337445,336770,335560,334657,333892,333109,332611,323424.80275696100,313498.01565722100,318557.10714119400,320514.03419897300,325814.12669500400,334435.97718284400,333830.25818527300,338618.45459299300,338192.10093658600,336929.27525645500,334749.16146064500,332822.75562053000,332495.27450522300,334240.19038180000,337253.82995792800,339933.07225619600,340314.92140436600,343097.65152474000,343313.79964254400,339751.81043950100,337920.91628131100
2019-01-01,334441,334566,334890,335864,337571,337943,337770,337094,335883,334979,334213,333430,332931,324534.60503381800,314573.75508289500,319650.20637106300,321613.84844292200,326932.12771581600,335583.56328563000,334975.76581938000,339684.87629219100,339257.17990686700,337990.37717029000,335803.39747385600,333870.92474352500,333542.41228168900,335292.82347646000,338315.95400204400,341003.63412195400,341386.68583959900,344178.17969905200,344395.00853889000,340821.80145174500,338985.14120126800
2019-02-01,334873,334999,335323,336299,338008,338380,338207,337530,336318,335413,334645,333861,333362,325835.43703679800,315834.66101268500,320931.46023970100,322902.97317774800,328242.56970856100,336928.68282612000,336318.44912538700,340984.06804568900,340554.73585125100,339283.08797795000,337087.74374666300,335147.87989352900,334818.11097104100,336575.21695839200,339609.91004246100,342307.86972466900,342692.38649909900,345494.55697695800,345712.21512142500,342125.34159957800,340281.65668001000
